"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2020,"Lassen","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",123.6,111.5,140963
2021,"Lassen","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",118.2,107.2,118891
2022,"Lassen","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",99.2,100.8,183105
2023,"Lassen","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",55.6,60.3,117180
2024,"Lassen","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",146.1,125.9,331493
2020,"Modoc","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",138.9,124.4,266463
2021,"Modoc","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",70.9,78.9,322454
2022,"Modoc","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",102.4,91.5,126629
2023,"Modoc","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",147.1,155.6,450262
2024,"Modoc","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",147,162,243777
2020,"Nevada","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",105.1,113.3,443024
2021,"Nevada","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",102.4,96.7,239780
2022,"Nevada","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",105.3,107.3,59445
2023,"Nevada","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",188,182.5,59794
2024,"Nevada","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",164,139.8,192274
2020,"Placer","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",71.6,71.5,309461
2021,"Placer","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",100.2,93.3,193765
2022,"Placer","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",86.7,80.5,165434
2023,"Placer","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",74.3,81.6,70442
2024,"Placer","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",195.9,209.5,105040
2020,"Plumas","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",67.2,65,331950
2021,"Plumas","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",60.6,60.3,235140
2022,"Plumas","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",162.2,176.7,301713
2023,"Plumas","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",70.2,70,159580
2024,"Plumas","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",51.5,46.5,370553
2020,"Sacramento","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",178.4,194.2,407129
2021,"Sacramento","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",100.8,103.9,128606
2022,"Sacramento","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",123.6,125.8,113974
2023,"Sacramento","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",135.8,127.3,188787
2024,"Sacramento","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",66.9,70.3,304468
2020,"Shasta","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",62.7,58.2,441578
2021,"Shasta","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",180.1,157.4,138943
2022,"Shasta","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",125.4,122.6,210703
2023,"Shasta","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",123.9,122.9,53668
2024,"Shasta","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",162.3,184.5,285847
2020,"Sierra","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",75.9,73,473522
2021,"Sierra","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",55.1,56.2,102832
2022,"Sierra","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",137.8,144.7,74250
2023,"Sierra","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",78.1,80.2,402602
2024,"Sierra","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",78.9,80.3,471598
2020,"Siskiyou","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",194.1,220,417285
2021,"Siskiyou","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",74.3,75.1,197933
2022,"Siskiyou","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",88.5,85.5,306890
2023,"Siskiyou","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",138.1,136.3,385147
2024,"Siskiyou","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",75,79.4,140192
2020,"Sutter","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",146.6,126.4,213555
2021,"Sutter","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",79.3,73,289749
2022,"Sutter","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",129.8,140.7,369362
2023,"Sutter","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",99.8,108.8,57313
2024,"Sutter","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",136.5,131.4,482923
2020,"Tehama","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",136.1,119.3,54666
2021,"Tehama","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",91.6,88.5,157127
2022,"Tehama","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",86.1,85.5,401535
2023,"Tehama","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",185.5,168.7,299730
2024,"Tehama","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",137,152.2,375595
2020,"Yolo","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",122.8,127,339943
2021,"Yolo","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",163.8,183.9,449151
2022,"Yolo","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",56.6,63.6,256642
2023,"Yolo","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",144.7,143.2,346026
2024,"Yolo","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",143.7,141.3,150880
2020,"Yuba","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",166,141.5,261905
2021,"Yuba","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",109.8,114.4,147386
2022,"Yuba","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Child Welfare",81.7,92.7,478921
2023,"Yuba","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",146.4,127.7,331261
2024,"Yuba","Social Services","Federal Fund","Region 1","Sacramento Valley & Sierra Foothills","Food Assistance",117.7,109.5,471902
2020,"Del Norte","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",133.8,120.8,192615
2021,"Del Norte","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",162,174.8,101977
2022,"Del Norte","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",70.7,66.4,101339
2023,"Del Norte","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",128.3,110.8,139378
2024,"Del Norte","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",68.9,75.6,319967
2020,"Humboldt","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",137.6,130.5,398747
2021,"Humboldt","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",81.1,82.4,99021
2022,"Humboldt","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",128,145.2,415527
2023,"Humboldt","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",178.5,177.9,400916
2024,"Humboldt","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",135.9,141.4,163390
2020,"Lake","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",151.4,143.3,77293
2021,"Lake","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",123.5,128.5,239166
2022,"Lake","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",193.5,168.3,54475
2023,"Lake","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",70.4,77.1,392245
2024,"Lake","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",112.3,117.7,251631
2020,"Mendocino","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",135.4,118.6,405917
2021,"Mendocino","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",144.4,159.3,341821
2022,"Mendocino","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",98.7,99.1,394054
2023,"Mendocino","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",176.5,170.7,421236
2024,"Mendocino","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",188.7,199,244573
2020,"Napa","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",185,174.3,355512
2021,"Napa","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",94.7,105.3,418803
2022,"Napa","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",131.3,121,309947
2023,"Napa","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",134.1,122.4,213394
2024,"Napa","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",174,157.5,352727
2020,"Sonoma","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",53.6,55.1,420984
2021,"Sonoma","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",136,146.5,117100
2022,"Sonoma","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",88.2,94.7,370306
2023,"Sonoma","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",153.6,176.1,361953
2024,"Sonoma","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",80.6,92.7,359968
2020,"Trinity","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",76.8,66.4,380079
2021,"Trinity","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",183.6,208.1,285727
2022,"Trinity","Social Services","Federal Fund","Region 2","North Coast","Food Assistance",119.3,132.5,122173
2023,"Trinity","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",116,98.9,159243
2024,"Trinity","Social Services","Federal Fund","Region 2","North Coast","Child Welfare",138.1,136.2,193498
2020,"Alameda","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",133.6,133.9,466203
2021,"Alameda","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",143.5,138.1,121020
2022,"Alameda","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",142.7,145.9,119794
2023,"Alameda","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",72.1,73.2,325455
2024,"Alameda","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",94.7,103,204789
2020,"Contra Costa","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",164.7,162.5,139633
2021,"Contra Costa","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",142.7,131.7,292609
2022,"Contra Costa","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",148.1,147.2,155014
2023,"Contra Costa","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",190.1,209.5,470313
2024,"Contra Costa","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",141.3,162.2,239687
2020,"Marin","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",159.7,147.4,305531
2021,"Marin","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",74.8,77.6,204464
2022,"Marin","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",164.4,162.4,493742
2023,"Marin","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",167.4,184.9,464714
2024,"Marin","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",80.3,85.8,96287
2020,"San Francisco","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",111.3,101,144504
2021,"San Francisco","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",135.7,126.4,412761
2022,"San Francisco","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",123.1,111,133878
2023,"San Francisco","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",142.3,143.7,188457
2024,"San Francisco","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",90.6,86.1,421282
2020,"San Mateo","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",88.4,100.1,200878
2021,"San Mateo","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",167.5,190.8,191591
2022,"San Mateo","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",132,124.9,129173
2023,"San Mateo","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",75,79,282404
2024,"San Mateo","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",196.4,174.2,275591
2020,"Santa Clara","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",123.3,131.1,385291
2021,"Santa Clara","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",74.7,80.6,122480
2022,"Santa Clara","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",82,77.9,233127
2023,"Santa Clara","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",156.5,143.2,141826
2024,"Santa Clara","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",65.2,64.2,247886
2020,"Solano","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",71.2,68.9,284236
2021,"Solano","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",111.4,113.9,103858
2022,"Solano","Social Services","Federal Fund","Region 3","Bay Area","Child Welfare",145.6,154.1,95967
2023,"Solano","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",53.6,46.5,448214
2024,"Solano","Social Services","Federal Fund","Region 3","Bay Area","Food Assistance",72.3,76.2,164848
2020,"Alpine","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",88.6,97.1,344163
2021,"Alpine","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",158.4,176.5,51672
2022,"Alpine","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",114.7,100.5,133753
2023,"Alpine","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",65.3,60.4,479246
2024,"Alpine","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",107.6,118.5,60607
2020,"Amador","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",126.2,121.5,273550
2021,"Amador","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",127.9,130.7,124139
2022,"Amador","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",186.5,172.8,314114
2023,"Amador","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",75.9,64.9,91058
2024,"Amador","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",111.8,109.6,219475
2020,"Calaveras","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",112.4,126.1,94347
2021,"Calaveras","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",118.6,135.6,402714
2022,"Calaveras","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",55.4,54.6,118581
2023,"Calaveras","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",188,186.6,315578
2024,"Calaveras","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",162.9,175.5,190518
2020,"Madera","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",196.9,196.2,316774
2021,"Madera","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",182.8,200,180773
2022,"Madera","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",199,210.7,356655
2023,"Madera","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",106.3,120.2,387530
2024,"Madera","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",102,90.1,127256
2020,"Mariposa","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",166.7,180.5,416548
2021,"Mariposa","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",71.9,79,306220
2022,"Mariposa","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",125.5,127.6,490142
2023,"Mariposa","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",161.4,160.3,144452
2024,"Mariposa","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",80.2,71.1,448577
2020,"Merced","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",150.3,138.6,271138
2021,"Merced","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",116.6,127.4,161057
2022,"Merced","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",185.1,193.2,199160
2023,"Merced","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",94,96.5,276860
2024,"Merced","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",134,131.1,164220
2020,"Mono","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",54.3,60.2,284040
2021,"Mono","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",134.6,132.2,201895
2022,"Mono","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",135.8,130.7,448309
2023,"Mono","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",190.2,187.6,305589
2024,"Mono","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",151.1,148.4,160544
2020,"San Joaquin","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",134.7,152.4,113642
2021,"San Joaquin","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",75.5,71.9,221512
2022,"San Joaquin","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",162.9,152.6,386724
2023,"San Joaquin","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",95.6,91.6,471355
2024,"San Joaquin","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",152.9,168,82557
2020,"Stanislaus","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",68.3,60.9,55995
2021,"Stanislaus","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",122.3,124.7,93220
2022,"Stanislaus","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",63,61.3,61445
2023,"Stanislaus","Social Services","Federal Fund","Region 4","Central Valley (North)","Child Welfare",94.5,91.4,213675
2024,"Stanislaus","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",69.4,65.3,418496
2020,"Tuolumne","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",105.2,97.6,368595
2021,"Tuolumne","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",120.7,136.7,419102
2022,"Tuolumne","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",53.9,51.6,206453
2023,"Tuolumne","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",115.5,101.8,97541
2024,"Tuolumne","Social Services","Federal Fund","Region 4","Central Valley (North)","Food Assistance",184.9,178.9,222042
2020,"Monterey","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",83.9,82.4,71475
2021,"Monterey","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",58.3,64.6,454567
2022,"Monterey","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",97.2,97.2,130677
2023,"Monterey","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",91.6,83.8,295679
2024,"Monterey","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",121,116.7,486382
2020,"San Benito","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",103.3,117.2,97579
2021,"San Benito","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",150.6,136.7,97323
2022,"San Benito","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",182.9,179.2,461251
2023,"San Benito","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",112.4,113.9,90742
2024,"San Benito","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",128.5,119.1,204574
2020,"San Luis Obispo","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",100.7,99.6,138801
2021,"San Luis Obispo","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",174.1,160.5,371539
2022,"San Luis Obispo","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",74.6,75.7,426316
2023,"San Luis Obispo","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",107.6,110,338002
2024,"San Luis Obispo","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",151.8,166.4,405863
2020,"Santa Barbara","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",192.9,219.5,95819
2021,"Santa Barbara","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",84.6,94.2,72759
2022,"Santa Barbara","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",153,148.9,130956
2023,"Santa Barbara","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",62.9,67.4,343463
2024,"Santa Barbara","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",156.2,154.4,91103
2020,"Santa Cruz","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",189,200.2,256237
2021,"Santa Cruz","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",171.5,175.7,495016
2022,"Santa Cruz","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",76.3,75.3,477204
2023,"Santa Cruz","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",60.4,60.9,201150
2024,"Santa Cruz","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",133,123.6,387015
2020,"Ventura","Social Services","Federal Fund","Region 5","Central Coast","Food Assistance",124.4,114.3,434706
2021,"Ventura","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",174,180.6,261771
2022,"Ventura","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",137.7,151.7,302588
2023,"Ventura","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",151.5,137.4,358404
2024,"Ventura","Social Services","Federal Fund","Region 5","Central Coast","Child Welfare",83.2,73.4,387379
2020,"Fresno","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",98.3,94.9,114321
2021,"Fresno","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",125.7,113,433750
2022,"Fresno","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",191.5,213,261184
2023,"Fresno","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",85.3,81.2,494268
2024,"Fresno","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",90.5,90,407036
2020,"Inyo","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",138,133.5,462678
2021,"Inyo","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",60.7,56.8,105344
2022,"Inyo","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",55.6,61.5,431050
2023,"Inyo","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",161.3,150.3,148539
2024,"Inyo","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",141.8,131.9,491913
2020,"Kern","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",163,173.7,482752
2021,"Kern","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",89.3,87.4,448038
2022,"Kern","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",170.8,188.8,199596
2023,"Kern","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",173.9,167.1,328856
2024,"Kern","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",77.7,82,223784
2020,"Kings","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",53.6,60.8,162239
2021,"Kings","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",100.9,111.2,335874
2022,"Kings","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",127.5,143.8,191924
2023,"Kings","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",199.3,213.5,311438
2024,"Kings","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",111.9,100,288677
2020,"Tulare","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",110.7,109.1,188563
2021,"Tulare","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",174,182.8,317635
2022,"Tulare","Social Services","Federal Fund","Region 6","Central Valley (South)","Child Welfare",175.7,173.8,447871
2023,"Tulare","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",58.6,51.5,345330
2024,"Tulare","Social Services","Federal Fund","Region 6","Central Valley (South)","Food Assistance",118.8,112.6,498857
2020,"Riverside","Social Services","Federal Fund","Region 7","Inland Empire","Food Assistance",93.7,85.4,482573
2021,"Riverside","Social Services","Federal Fund","Region 7","Inland Empire","Food Assistance",96.5,109.1,54360
2022,"Riverside","Social Services","Federal Fund","Region 7","Inland Empire","Child Welfare",164.3,153.5,236177
2023,"Riverside","Social Services","Federal Fund","Region 7","Inland Empire","Child Welfare",52.2,46.5,476034
2024,"Riverside","Social Services","Federal Fund","Region 7","Inland Empire","Child Welfare",159.5,145.1,65837
2020,"San Bernardino","Social Services","Federal Fund","Region 7","Inland Empire","Food Assistance",69.2,73.7,475730
2021,"San Bernardino","Social Services","Federal Fund","Region 7","Inland Empire","Food Assistance",145.9,149.9,151412
2022,"San Bernardino","Social Services","Federal Fund","Region 7","Inland Empire","Child Welfare",56.7,59.1,191940
2023,"San Bernardino","Social Services","Federal Fund","Region 7","Inland Empire","Food Assistance",142,136.8,201671
2024,"San Bernardino","Social Services","Federal Fund","Region 7","Inland Empire","Child Welfare",68.2,65.4,336231
2020,"Los Angeles","Social Services","Federal Fund","Region 8","Los Angeles","Food Assistance",57.1,59.2,390209
2021,"Los Angeles","Social Services","Federal Fund","Region 8","Los Angeles","Food Assistance",158,170.2,441942
2022,"Los Angeles","Social Services","Federal Fund","Region 8","Los Angeles","Child Welfare",170.4,190.4,247855
2023,"Los Angeles","Social Services","Federal Fund","Region 8","Los Angeles","Food Assistance",164.9,160.1,455669
2024,"Los Angeles","Social Services","Federal Fund","Region 8","Los Angeles","Child Welfare",137.8,153.5,187436
2020,"Orange","Social Services","Federal Fund","Region 9","Orange County","Child Welfare",121.8,130.2,475125
2021,"Orange","Social Services","Federal Fund","Region 9","Orange County","Child Welfare",55.2,47.2,62558
2022,"Orange","Social Services","Federal Fund","Region 9","Orange County","Child Welfare",86,87.3,430304
2023,"Orange","Social Services","Federal Fund","Region 9","Orange County","Child Welfare",114.7,111.2,293457
